3-NE-F06-132,Between Room 301 & 302,6/7/16 8:40 AM,None Detected,ND
3-NE-F06-133,Between Room 301 & 302,6/7/16 8:40 AM,None Detected,ND
3-NE-F06-134,Between Room 301 & 302,6/7/16 8:40 AM,None Detected,ND
3-NE-F06-135,Between Room 301 & 302,6/7/16 8:40 AM,None Detected,ND
3-SE-F01-136,Between Room 306 & 307,6/7/16 8:45 AM,None Detected,ND
3-SE-F01-137,Between Room 306 & 307,6/7/16 8:45 AM,None Detected,ND
3-SE-F01-138,Between Room 306 & 307,6/7/16 8:45 AM,None Detected,ND
3-SE-F01-139,Between Room 306 & 307,6/7/16 8:45 AM,None Detected,ND
3-SE-F01-140,Between Room 306 & 307,6/7/16 8:45 AM,None Detected,ND
3-SE-F02-141,Between Room 306 & 307,6/7/16 8:47 AM,None Detected,ND
3-SE-F02-142,Between Room 306 & 307,6/7/16 8:47 AM,None Detected,ND
3-SE-F02-143,Between Room 306 & 307,6/7/16 8:47 AM,None Detected,ND
3-SE-F02-144,Between Room 306 & 307,6/7/16 8:47 AM,None Detected,ND
