schoolname,school,filename,score,num_fixtures,lat,long
Clissold,Clissold,IndividualSchool_Clissold_609861.pdf,0.0,10,41.693026,-87.680897
Colemon,Colemon,IndividualSchool_Colemon_610199.pdf,0.0,7,41.677505,-87.658111
Coles,Coles,Individualschool_Coles_609862.pdf,0.028571428571428574,14,41.741413,-87.56597
Collins Hs,Collins,IndividualSchool_CollinsHS_610499.pdf,0.0375,32,41.864149,-87.702042
Columbia Explorers,Columbiaexplorers,IndividualSchool_ColumbiaExplorers_610170.pdf,0.006666666666666667,30,41.811069,-87.704199
Columbus,Columbus,Individualschool_Columbus_609863.pdf,0.022222222222222223,9,41.899566,-87.681938
Cook,Cook,Individualschool_Cook_609864.pdf,0.0,18,41.745237,-87.659775
Coonley,Coonley,Individualschool_Coonley_609866.pdf,0.0,7,41.955553,-87.68376500000001
Cooper,Cooper,Individualschool_cooper_609867.pdf,0.0,24,41.856031,-87.667227
Corkery,Corkery,Individualschool_Corkery_609870.pdf,0.0,19,41.845602,-87.731193
Corliss Hs,Corliss,IndividualSchool_Corliss_609761.pdf,0.0,22,41.70666,-87.60121600000001
Courtenay,Courtenay,Individualschool_courtenay_610355.pdf,0.06666666666666667,24,41.962308,-87.663853
Crane Medical Hs,Cranemedical,IndividualSchool_CraneMedical_610561.pdf,0.0,25,41.876946999999994,-87.683301
Crown,Crown,Individualschool_Crown_609873.pdf,0.0,5,41.852663,-87.71247
Cuffe,Cuffe,IndividualSchool_Cuffe_610003.pdf,0.013793103448275864,29,41.742452,-87.653633
Cullen,Cullen,IndividualSchool_cullen_610004.pdf,0.0,4,41.700334999999995,-87.611244
Curie Hs,Curie,IndividualSchool_Curie_609756.pdf,0.0,46,41.803059999999995,-87.722042
Curtis,Curtis,Individualschool_Curtis_609900.pdf,0.0,23,41.685418,-87.62165300000001
Chicago Vocational Hs,Cvca,IndividualSchool_CVCA_609674.pdf,0.08095238095238096,42,41.737173999999996,-87.573268
Darwin,Darwin,Individualschool_Darwin_609875.pdf,0.02666666666666667,30,41.923322999999996,-87.70541300000001
Davis N,Davis,IndividualSchool_Davis_609876.pdf,0.0,26,41.821852,-87.700202
Davis M,Davism,IndividualSchool_DavisM_610521.pdf,0.0,25,41.771221000000004,-87.66653000000001
Dawes,Dawes,Individualschool_Dawes_609879.pdf,0.0,24,41.745078,-87.717353
De Diego,Dediego,Individualschool_DeDiego_610313.pdf,0.0,11,41.905294,-87.68575600000001
Deneen,Deneen,Individualschool_Deneen_609883.pdf,0.028571428571428574,14,41.76249,-87.623345
Depriest,Depriest,IndividualSchool_DePriest_610367.pdf,0.0,26,41.877978999999996,-87.76629799999999
Dett,Dett,Individualschool_Dett_610252.pdf,0.0,5,41.879870000000004,-87.68031500000001
Dever,Dever,Individualschool_Dever_609884.pdf,0.0,17,41.942552,-87.813132
Dewey,Dewey,Individualschool_dewey_609885.pdf,0.0,17,41.795646000000005,-87.642652
Dirksen,Dirksen,Individualschool_Dirksen_609874.pdf,0.0,17,41.973715000000006,-87.841041
Disney,Disney,Individualschool_Disney_610363.pdf,0.011111111111111112,54,41.956815999999996,-87.64608299999999
Disney Ii,Disneyii,Individualschool_DisneyII_610515.pdf,0.016666666666666666,12,41.950461,-87.730678
Dixon,Dixon,IndividualSchool_Dixon_609887.pdf,0.0,17,41.743669,-87.60997900000001
Dodge,Dodge,Individualschool_Dodge_610257.pdf,0.03,20,41.889178,-87.705108
U Of C - Donoghue,Donoghue,IndividualSchool_Donoghue_400075.pdf,0.0,14,41.827726,-87.608501
Doolittle,Doolittle,Individualschool_Doolittle_609891.pdf,0.0,22,41.831121,-87.612275
Dore,Dore,Individualschool_Dore_609893.pdf,0.0,8,41.780954,-87.787604
Douglass Hs,Douglasshs,IndividualSchool_DouglassHS_610245.pdf,0.037037037037037035,27,41.890369,-87.767668
Drake,Drake,Individualschool_Drake_609894.pdf,0.010526315789473684,19,41.844043,-87.628553
Drummond,Drummond,IndividualSchool_Drummond_609896.pdf,0.028571428571428574,14,41.915914,-87.674495
Dubois,Dubois,Individualschool_DuBois_610364.pdf,0.05,8,41.653733,-87.61431999999999
Dulles,Dulles,Individualschool_Dulles_610263.pdf,0.0,13,41.7799,-87.617214
Dunbar Hs,Dunbar,IndividualSchool_Dunbar_609676.pdf,0.011111111111111112,36,41.840226,-87.617637
Dunne,Dunne,IndividualSchool_Dunne_610188.pdf,0.0,10,41.696496,-87.639974
Durkin Park,Durkinpark,Individualschool_DurkinPark_610352.pdf,0.06666666666666667,15,41.738844,-87.729955
Dvorak,Dvorak,Individualschool_dvorak_610254.pdf,0.0,15,41.858883,-87.715744
Earhart,Earhart,IndividualSchool_Earhart_610316.pdf,0.0,9,41.726107,-87.58218199999999
Earle,Earle,Individualschool_Earle_609897.pdf,0.0,14,41.781225,-87.675547
Eberhart,Eberhart,IndividualSchool_Eberhart_609898.pdf,0.0,33,41.77442,-87.707953
Ebinger,Ebinger,IndividualSchool_Ebinger_609899.pdf,0.0,21,42.004408000000005,-87.81116999999999
Edgebrook,Edgebrook,IndividualSchool_Edgebrook_609901.pdf,0.0,16,41.999437,-87.76184
Edison,Edison,IndividualSchool_Edison_609794.pdf,0.02307692307692308,26,41.971506,-87.709304
Edison Park,Edisonpark,IndividualSchool_EdisonPark_610523.pdf,0.0,19,41.994238,-87.813771
Edwards,Edwards,IndividualSchool_Edwards_609903.pdf,0.0,20,41.805541999999996,-87.72585600000001
