park_name,fixture_location,result_value,result_flag,processed_result,exceeds_epa
Douglas,Fountain 10 Middle,9.96,,9.96,0
Douglas,Fountain 10 Low,9.09,,9.09,0
Drexel,Fountain 1*,70,,70.0,1
Dubkin,Fountain 1 High,<2.0,U,0.0,0
Dubkin,Fountain 1 Low,<2.0,U,0.0,0
Dunbar,Fountain 1*,130,,130.0,1
Dunbar,Fountain 2,<2.0,U,0.0,0
Dunbar,Fountain 3*,26,,26.0,1
Dunbar,Fountain 4 High,<2.0,U,0.0,0
Dunbar,Fountain 4 Middle,<2.0,U,0.0,0
Dunbar,Fountain 4 Low,<2.0,U,0.0,0
Dunbar,Fountain 5 High,<2.0,U,0.0,0
Dunbar,Fountain 5 Middle,<2.0,U,0.0,0
Dunbar,Fountain 5 Low,<2.0,U,0.0,0
Dunham,Main Hall South,0.486,J,0.486,0
Dunham,Women's Locker Room,10,,10.0,0
Dunham,Men's Locker Room,3.89,J,3.89,0
Dunham,Kitchen Sink,<2.0,U,0.0,0
Dunham,Fountain 1*,30.5,,30.5,1
Dunham,Fountain 2*,21.9,,21.9,1
Dunham,Fountain 3 High,7.66,,7.66,0
Dunham,Fountain 3 Middle,5.78,,5.78,0
Dunham,Fountain 3 Low,6.06,,6.06,0
Durkin,Fountain 2,2.72,J,2.72,0
Durkin,Fountain 3 High,<0.120,U,0.0,0
Durkin,Fountain 3 Low,<0.120,U,0.0,0
Dvorak,Main Lobby - High,0.922,J,0.922,0
Dvorak,Main Lobby - Low,1.44,J,1.44,0
Dvorak,Kitchen Sink,<2.0,U,0.0,0
Dvorak,Fountain 1*,17,,17.0,1
Dvorak,Fountain 2 High,7.4,,7.4,0
Dvorak,Fountain 2 Middle,4.8,,4.8,0
Dvorak,Fountain 2 Low,3.8,,3.8,0
