Abbott,"","",""
"",1st Floor by Men's Washroom ,1.05 J
"", 2nd Floor by Women's Washroom ,0.462 J
"",Basement Hallway ,0.497 J
"",Women's Locker Room* ,58.2
"",Men's Locker Room* ,71.3
"",Outdoor,""
"",Fountain 1 High ,9.18
"",Fountain 1 Low ,9.5
"",Fountain 2 High ,˂0.120 U
"",Fountain 2 Middle ,˂0.120 U
"",Fountain 2 Low ,˂0.120 U
"",Fountain 3 High* ,6.74
"",Fountain 3 Low* ,15.4
"",Fountain 4 High ,11.9
"",Fountain 4 Low ,14.3
Fellger,"",""
"",Outdoor,""
"",Fountain 1 High ,˂2.0 U
"",Fountain 1 Low ,˂2.0 U
Fernwood,"",""
"",Indoor,""
"",Lobby by Gym ,<0.120 U
"",Main Lobby ,0.232 J
"",Outdoor ,""
"",Fountain 1 ,<0.120 U
"",Fountain 2* ,33.2
Filbert,"",""
"",Outdoor,""
"",Fountain 1 High ,2.5
"",Fountain 1 Middle ,2.2
"",Fountain 1 Low ,2.3
Flower,"",""
"",Outdoor,""
"",Fountain 1 High ,˂2.0 U
"",Fountain 1 Middle ,˂2.0 U
"",Fountain 1 Low ,˂2.0 U
Flying Squirrel ,"",""
"",Outdoor,""
"",Fountain 1 ,6.58
Forest Glen,"",""
"",Outdoor,""
"",Fountain 1 High ,4.53 J
"",Fountain 1 Low ,4.57 J
"",Fountain 1 Dog ,5.39
Fosco,"",""
"",Indoor,""
"",Main Hall - High ,<0.120 U
"",Main Hall - Low ,<0.120 U
"",Outside Locker Room ,<0.120 U
"",Outside Gym Near Pool - High ,<0.120 U
"",Outside Gym Near Pool - Low ,<0.120 U
"",Pool Area - High ,<0.120 U
"",Pool Area - Low ,<0.120 U
"",Outside Daycare - High ,<0.120 U
"",Outside Daycare - Low ,<0.120 U
"",Daycare Entrance - High ,<0.120 U
"",Daycare Entrance - Low ,<0.120 U
"",Daycare Sink ,<2.0 U
"",Daycare Employee  Sink ,<2.0 U
"",Senior Room Sink ,<2.0 U
"",Warming Kitchen Sink ,<2.0 U
"",Outdoor ,""
"",Fountain 1 High ,<2.0 U
"",Fountain 1 Low ,<2.0 U
"",Fountain 2 High ,<2.0 U
"",Fountain 2 Low ,<2.0 U
Foster,"",""
Indoor ,"",""
Lobby - High ,"",0.34 J
Lobby - Low ,"",0.672 J
Men's Locker Room ,"",0.733 J
Kitchen Sink ,"",<2.0 U
Outdoor,"",""
Fountain 1 High ,"",0.419 J
Fountain 1 Low ,"",0.325 J
Fountain 2 High ,"",7.52
Fountain 2 Low ,"",7.89
Fountain 3* ,"",159
Fountain 4 High ,"",<0.120 U
Fountain 4 Low ,"",2.06 J
Fountain 5 High* ,"",50
Fountain 5 Low* ,"",73
Fountain 6 High ,"",0.182 J
Fountain 6 Low ,"",0.28 J
Franklin,"",""
Indoor ,"",""
Main Lobby ,"",0.505 J
Women's Locker Room ,"",1.42 J
Men's Locker Room ,"",<0.120 U
Kitchen Sink ,"",2.5
Outdoor,"",""
Fountain 1 ,"",2.32 J
Fountain 2 High ,"",<0.120 U
Fountain 2 Low ,"",<0.120 U
Fountain 3 ,"",1.12 J
Fountain 4* ,"",37.2
Fuller,"",""
Indoor ,"",""
Main Lobby ,"",0.413  J
West Gym Hallway ,"",0.977  J
East Gym Hallway ,"",2.58  J
Boxing Gym ,"",3.15  J
